level_0,index,Academic Year,Classification of First Degree,Number,Percentage
0,0,2013/14,First,79410,20
1,1,2013/14,Lower second,95965,24
2,2,2013/14,Third/Pass,21905,6
3,4,2013/14,Upper second,198320,50
4,275,2014/15,First,81640,22
5,276,2014/15,Lower second,85250,23
6,277,2014/15,Third/Pass,20340,5
7,279,2014/15,Upper second,183680,50
8,550,2015/16,First,88890,24
9,551,2015/16,Lower second,81595,22
10,552,2015/16,Third/Pass,19280,5
11,554,2015/16,Upper second,186565,50
12,825,2016/17,First,100945,26
13,826,2016/17,Lower second,79515,20
14,827,2016/17,Third/Pass,19025,5
15,829,2016/17,Upper second,192395,49
16,1105,2017/18,First,110475,28
17,1106,2017/18,Lower second,76210,19
18,1107,2017/18,Third/Pass,17830,4
19,1109,2017/18,Upper second,192425,48
